,feature,importance
135,jitterLocal_sma_de_amean,0.0
130,F0final_sma_de_stddev,0.0
133,voicingFinalUnclipped_sma_de_amean,0.0
48,audSpec_Rfilt_sma[14]_stddev,0.0
35,audSpec_Rfilt_sma[7]_amean,0.0
36,audSpec_Rfilt_sma[8]_stddev,0.0
37,audSpec_Rfilt_sma[8]_amean,0.0
38,audSpec_Rfilt_sma[9]_stddev,0.0
39,audSpec_Rfilt_sma[9]_amean,0.0
40,audSpec_Rfilt_sma[10]_stddev,0.0
41,audSpec_Rfilt_sma[10]_amean,0.0
42,audSpec_Rfilt_sma[11]_stddev,0.0
43,audSpec_Rfilt_sma[11]_amean,0.0
44,audSpec_Rfilt_sma[12]_stddev,0.0
45,audSpec_Rfilt_sma[12]_amean,0.0
46,audSpec_Rfilt_sma[13]_stddev,0.0
47,audSpec_Rfilt_sma[13]_amean,0.0
49,audSpec_Rfilt_sma[14]_amean,0.0
64,audSpec_Rfilt_sma[22]_stddev,0.0
50,audSpec_Rfilt_sma[15]_stddev,0.0
51,audSpec_Rfilt_sma[15]_amean,0.0
52,audSpec_Rfilt_sma[16]_stddev,0.0
53,audSpec_Rfilt_sma[16]_amean,0.0
54,audSpec_Rfilt_sma[17]_stddev,0.0
55,audSpec_Rfilt_sma[17]_amean,0.0
56,audSpec_Rfilt_sma[18]_stddev,0.0
57,audSpec_Rfilt_sma[18]_amean,0.0
58,audSpec_Rfilt_sma[19]_stddev,0.0
59,audSpec_Rfilt_sma[19]_amean,0.0
60,audSpec_Rfilt_sma[20]_stddev,0.0
61,audSpec_Rfilt_sma[20]_amean,0.0
62,audSpec_Rfilt_sma[21]_stddev,0.0
34,audSpec_Rfilt_sma[7]_stddev,0.0
33,audSpec_Rfilt_sma[6]_amean,0.0
32,audSpec_Rfilt_sma[6]_stddev,0.0
31,audSpec_Rfilt_sma[5]_amean,0.0
2,voicingFinalUnclipped_sma_stddev,0.0
3,voicingFinalUnclipped_sma_amean,0.0
4,jitterLocal_sma_stddev,0.0
5,jitterLocal_sma_amean,0.0
6,jitterDDP_sma_stddev,0.0
7,jitterDDP_sma_amean,0.0
8,shimmerLocal_sma_stddev,0.0
9,shimmerLocal_sma_amean,0.0
10,logHNR_sma_stddev,0.0
12,audspec_lengthL1norm_sma_stddev,0.0
14,audspecRasta_lengthL1norm_sma_stddev,0.0
15,audspecRasta_lengthL1norm_sma_amean,0.0
16,pcm_RMSenergy_sma_stddev,0.0
17,pcm_RMSenergy_sma_amean,0.0
18,pcm_zcr_sma_stddev,0.0
19,pcm_zcr_sma_amean,0.0
20,audSpec_Rfilt_sma[0]_stddev,0.0
21,audSpec_Rfilt_sma[0]_amean,0.0
22,audSpec_Rfilt_sma[1]_stddev,0.0
23,audSpec_Rfilt_sma[1]_amean,0.0
24,audSpec_Rfilt_sma[2]_stddev,0.0
25,audSpec_Rfilt_sma[2]_amean,0.0
26,audSpec_Rfilt_sma[3]_stddev,0.0
27,audSpec_Rfilt_sma[3]_amean,0.0
28,audSpec_Rfilt_sma[4]_stddev,0.0
29,audSpec_Rfilt_sma[4]_amean,0.0
30,audSpec_Rfilt_sma[5]_stddev,0.0
63,audSpec_Rfilt_sma[21]_amean,0.0
65,audSpec_Rfilt_sma[22]_amean,0.0
132,voicingFinalUnclipped_sma_de_stddev,0.0
117,pcm_fftMag_mfcc_sma[8]_amean,0.0
104,pcm_fftMag_mfcc_sma[2]_stddev,0.0
105,pcm_fftMag_mfcc_sma[2]_amean,0.0
106,pcm_fftMag_mfcc_sma[3]_stddev,0.0
107,pcm_fftMag_mfcc_sma[3]_amean,0.0
108,pcm_fftMag_mfcc_sma[4]_stddev,0.0
109,pcm_fftMag_mfcc_sma[4]_amean,0.0
110,pcm_fftMag_mfcc_sma[5]_stddev,0.0
111,pcm_fftMag_mfcc_sma[5]_amean,0.0
112,pcm_fftMag_mfcc_sma[6]_stddev,0.0
113,pcm_fftMag_mfcc_sma[6]_amean,0.0
114,pcm_fftMag_mfcc_sma[7]_stddev,0.0
